number,description,dimensions,product_number
2615DC-24,Counter Height Chair,18.5 x 21.75 x 42.25H,2615DC-36*
2615DC-50*,Buffet &amp; Hutch,60 x 19 x 80.25H,2615DC-36*
2615DC-40,Server,58 x 19 x 39H,2615DC-36*
2615DC-72*,Pedestal Dining Table,54 x 54 - 72 x 30H,2615DC-72*
2615DCA,Arm Chair,25 x 25.75 x 41.5H,2615DC-72*
2615DCS,Side Chair,20.5 x 25.75 x 41.5H,2615DC-72*
2615RFA-NN,Arm Chair without Nailheads,25 x 25.5 x 41.5H,2615DC-72*
2615RFS-NN,Side Chair without Nailheads,20.5 x 25.5 x 41.5H,2615DC-72*
2615DC-50*,Buffet &amp; Hutch,60 x 19 x 80.25H,2615DC-72*
2615DC-40,Server,58 x 19 x 39H,2615DC-72*
2615DC-96*,Dining Table,42 x 76 - 96 x 30H,2615DC-96*
2615DC-50*,Buffet &amp; Hutch,60 x 19 x 80.25H,2615DC-96*
2615DC-40,Server,58 x 19 x 39H,2615DC-96*
2615DCA,Arm Chair,25 x 25.75 x 41.5H,2615DC-96*
2615DCS,Side Chair,20.5 x 25.75 x 41.5H,2615DC-96*
2615RFA-NN,Arm Chair without Nailheads,25 x 25.5 x 41.5H,2615DC-96*
2615RFS-NN,Side Chair without Nailheads,20.5 x 25.5 x 41.5H,2615DC-96*
2617N-36,Counter Height Table,56 x 37.5 - 56 x 36H,2617N-36
2617N-24,Counter Height Chair,18.75 x 22.75 x 40.5H,2617N-36
3217PU,Gas Lift Table,36 Dia x 20.5 -30H,3217PU*
3217PUS,4-Piece Pack Ottomans with Storage,16.25 x 16.25 x 17.5H,3217PU*
3270-36,"Counter Height Table, Faux Marble Top",48 x 48 x 36H,3270-36
3270-24S1W,"Counter Height Chair, White Bi-Cast Vinyl",19 x 23 x 39H,3270-36
3270-24S1BK,"Counter Height Chair, Black Bi-Cast Vinyl",19 x 23 x 39H,3270-36
3270-48,"Dining Table, Faux Marble Top",36 x 48 x 30H,3270-48
3270-S1W,"Side Chair, White Bi-Cast Vinyl",19 x 24 x 38.5H,3270-48
3270-60,"Dining Table, Faux Marble Top",36 x 60 x 30H,3270-48
3270-S1BK,"Side Chair, Black Bi-Cast Vinyl",19 x 24 x 38.5H,3270-48
3276N-60,"Dining Table, Faux Marble Top",36 x 60 x 30H,3276N-60
3276S-CR,Side Chair,19 x 25 x 38H,3276N-60
3276YS,"Side Chair, Chartreuse-Yellow Bi-Cast Vinyl",19 x 25 x 38H,3276N-60
3276BS,"Side Chair, Sky-Blue Bi-Cast Vinyl",19 x 25 x 38H,3276N-60
3276RS,"Side Chair, Lava-Red Bi-Cast Vinyl",19 x 25 x 38H,3276N-60
3276Y-24,"Counter Height Chair, Chartreuse-Yellow Bi-Cast Vinyl",18 x 24 x 40H,3276N-60
3276B-24,"Counter Height Chair, Sky-Blue Bi-Cast Vinyl",18 x 24 x 40H,3276N-60
3276R-24,"Counter Height Chair, Lava-Red Bi-Cast Vinyl",18 x 24 x 40H,3276N-60
3276-24CR,"Counter Height Chair, Dark Brown Bi-Cast Vinyl",18 x 24 x 40H,3276N-60
3292-36,5-Piece Pack Counter Height Set,Table: 40 Dia x 36H Stool:  18 x 18 x 24H,3292-36
5021-54,"Dining Table, Glass Top",54 x 54 x 30H,5021-54
5021BES,"Side Chair, Beige",20.5 x 24.5 x 40H,5021-54
